corp_name,corp_uid,original_name,lat,lng,location,nace_code,postcode,street,nh3_yeartotal,nh3_2015,has_local_subsidies,has_subsidies,local_subsidies,total_subsidies
Tierproduktionsgesellschaft Thimmendorf mbH (TGT),03adf9fd-3aba-4ef6-bdcb-12569cd60ec4,Tierproduktionsgesellschaft Thimmendorf mbH (TGT),50.54837174988621,11.561823258992,Remptendorf,146.0,07368,Thimmendorf Nr. 37,97600.0,22500.0,1,1,406250.0,406250.0
Volker Schmitt,b115ae39-3e5f-4c92-b673-50a6c4e4c322,AHVG mbH Fienstedt,51.5626617291535,11.789530329463501,Salzatal,146.0,06198,Dorfstraße None,69500.0,13900.0,0,0,0.0,0.0
"Austing gr., Franz",2868d64b-3270-47bf-8f46-3ed15a13caac,Austing gr. Franz,52.5311358474553,8.25944888035048,Damme,146.0,49401,Oldorf 14,39300.0,12700.0,1,1,0.0,0.0
Pelapro Ferkelproduktion GmbH Zollchow,a1101452-5002-4809-be09-9c890379a6ff,Pelapro Ferkelproduktion GmbH Zollchow,52.5233064019685,12.2110942285826,Milower Land,146.0,14715,Galmer Straße 1 a,59200.0,14800.0,0,0,0.0,0.0
Schweinemastanlage Todendorf e.G.,0c46f061-b058-49f5-85ff-9fa11e8f6f6a,Schweinemastanlage Todendorf e.G.,53.8285817503936,12.5763152141037,Thürkow,146.0,17168,An der Landstraße 24,189300.0,36600.0,1,1,1850962.75,1850962.75
Tierzucht Gut Losten GmbH & Co. KG,53dcad68-c5c5-440f-9b66-642c85dde442,Tierzucht Gut Losten GmbH & Co. KG,53.80009541145501,11.4651480454581,Bad Kleinen,146.0,23996,Häuslerreihe 28,678000.0,155000.0,1,1,967736.8599999999,967736.8599999999
"Gut Groß Langerwisch Hölscher, Leuschner",24a34f09-86f7-4da1-8672-6ac56378a160,"Gut Groß Langerwisch Hölscher, Leuschner, Quittmann GbR",53.1759974280058,12.0998576124823,Groß Pankow (Prignitz),146.0,16928,Gutshof 1,130500.0,26100.0,0,0,0.0,0.0
Landwirtschaft Wallhausen GmbH &. Co. KG,20d883bb-8675-45b9-8c88-3ddace0affb5,Landwirtschaft Wallhausen GmbH u. Co. KG,51.4638901967003,11.2130110475718,Wallhausen,146.0,06528,Salzhügel None,87000.0,18000.0,1,1,67464.27,67464.27
"Schulze Austrup-Streyl, Hubert",3a83d133-0ceb-4b2d-83ea-b1bceb528fc0,"Schulze Austrup-Streyl, Hubert",51.8209522890956,7.488919739979808,Senden,146.0,48308,Gettrup 15a,49800.0,12400.0,1,1,0.0,0.0
Schweineproduktion Drebach GmbH,dd864a0a-2dc0-4cd1-92ab-3813b183319c,Schweineproduktion Drebach GmbH,50.6854570913332,13.0208439225487,Drebach,146.0,09430,Teichweg 7,58700.0,10900.0,0,0,0.0,0.0
Josef Farwick,28eb7045-e6c3-4165-9cae-3f38867d6638,"Farwick, Josef",51.730238562668504,7.44126415676215,Lüdinghausen,146.0,59348,Tüllinghoff 30,47600.0,11800.0,1,1,71821.72,71821.72
Exeler Schweineaufzucht GbR,ba7837af-e7ce-41ff-8c15-53a3cd5487f6,Exeler Schweineaufzucht GbR,52.30947366179881,7.49437095608927,Rheine,146.0,48432,Am Bruchgraben 5,141000.0,32800.0,1,1,0.0,0.0
Schweinemast VEKRA GmbH,8cc301d2-abf0-45d3-a71b-43b78e5fd006,Schweinemast VEKRA GmbH,52.1132651670376,13.049768140130501,Nuthe-Urstromtal,146.0,14943,Zülichendorfer Landstraße 2,50500.0,10100.0,0,0,0.0,0.0
